2020-12-31 17:31:44 | INFO      | ostDriver:ost_collection_modifyitems:35 - test_d1
2020-12-31 17:32:04 | INFO      | base:find_element:28 - 元素对象为：<appium.webdriver.webelement.WebElement (session="96b0b951-d1c0-4d7c-924e-57f2a40f46cb", element="1ac1dd0a-72ee-4eec-9248-4e53ee0415e6")>
2020-12-31 17:32:05 | INFO      | base:send_key:68 - 元素对象输入值成功，值为：123456
2020-12-31 17:32:05 | INFO      | locate:get_locator:55 - The element positioning mode is：ANDROID_UIAUTOMATOR,The element object value is:new UiSelector().text("登录")
2020-12-31 17:32:05 | INFO      | base:find_element:16 - 输出定位器信息：('-android uiautomator', 'new UiSelector().text("登录")')
2020-12-31 17:32:05 | INFO      | base:find_element:24 - 正在定位元素信息：定位方式->-android uiautomator,value值->new UiSelector().text("登录")
2020-12-31 17:32:05 | INFO      | base:find_element:28 - 元素对象为：<appium.webdriver.webelement.WebElement (session="96b0b951-d1c0-4d7c-924e-57f2a40f46cb", element="806da08b-7330-43f4-a58f-d2c5da1d8108")>
2020-12-31 17:32:06 | INFO      | base:click_btn:80 - 元素对象点击成功
2020-12-31 17:32:06 | INFO      | locate:get_locator:55 - The element positioning mode is：ID,The element object value is:android:id/message
2020-12-31 17:32:06 | INFO      | base:find_element:16 - 输出定位器信息：('id', 'android:id/message')
2020-12-31 17:32:06 | INFO      | base:find_element:24 - 正在定位元素信息：定位方式->id,value值->android:id/message
2020-12-31 17:32:06 | INFO      | base:find_element:28 - 元素对象为：<appium.webdriver.webelement.WebElement (session="96b0b951-d1c0-4d7c-924e-57f2a40f46cb", element="ba3792f8-061c-4a72-8e18-3407ef19be96")>
2020-12-31 17:32:06 | INFO      | base:get_text:93 - 元素text值：用户不存在
2020-12-31 17:32:06 | INFO      | assertScreenShot:assert_equal_screen_shot:16 - Element assertion in progress:Is 用户不存在 equal to 用户不存在?
2020-12-31 17:32:06 | INFO      | conftest:function_driver:39 - driver.quit:Clean up driver process！！！
2020-12-31 17:32:26 | WARNING      | autoParamInjection:__read_yaml:73 - output class file path：D:\TestScriptDir\opensourcetest\opensourcetest\appmodel\ActivityObject\yamlChoice.py
2020-12-31 17:32:26 | WARNING      | autoParamInjection:__read_yaml:74 - Use the yaml path configured by mode in OST framework to retrieve
2020-12-31 17:32:26 | WARNING      | autoParamInjection:__read_yaml:75 - Output Login_activity yaml file address: D:\TestScriptDir\opensourcetest\opensourcetest\appmodel/ActivityObject\Login_activity\Login_activity.yaml
2020-12-31 17:32:26 | INFO      | autoParamInjection:__init__:30 - LoginActivityElem Yaml object injection in progress
2020-12-31 17:32:26 | INFO      | test_loginActivityCase:test_d2:34 - 用例编号编码：test_d2
2020-12-31 17:32:26 | INFO      | locate:get_locator:55 - The element positioning mode is：ANDROID_UIAUTOMATOR,The element object value is:new UiSelector().text("请输入手机号")
2020-12-31 17:32:26 | INFO      | base:find_element:16 - 输出定位器信息：('-android uiautomator', 'new UiSelector().text("请输入手机号")')
2020-12-31 17:32:26 | INFO      | base:find_element:24 - 正在定位元素信息：定位方式->-android uiautomator,value值->new UiSelector().text("请输入手机号")
2020-12-31 17:32:27 | INFO      | base:find_element:28 - 元素对象为：<appium.webdriver.webelement.WebElement (session="8473c09a-452a-4d21-be47-7a82e85c818e", element="f68a21ef-a28b-4c5f-b111-933f86f4c56d")>
2020-12-31 17:32:28 | INFO      | base:send_key:68 - 元素对象输入值成功，值为：18383398333
2020-12-31 17:32:28 | INFO      | locate:get_locator:55 - The element positioning mode is：ANDROID_UIAUTOMATOR,The element object value is:new UiSelector().text("请输入验证码")
2020-12-31 17:32:28 | INFO      | base:find_element:16 - 输出定位器信息：('-android uiautomator', 'new UiSelector().text("请输入验证码")')
2020-12-31 17:32:28 | INFO      | base:find_element:24 - 正在定位元素信息：定位方式->-android uiautomator,value值->new UiSelector().text("请输入验证码")
2020-12-31 17:32:29 | INFO      | base:find_element:28 - 元素对象为：<appium.webdriver.webelement.WebElement (session="8473c09a-452a-4d21-be47-7a82e85c818e", element="8eed6c35-88ed-41a7-833b-eb698da16a1e")>
2020-12-31 17:32:29 | INFO      | base:send_key:68 - 元素对象输入值成功，值为：123456
2020-12-31 17:32:29 | INFO      | locate:get_locator:55 - The element positioning mode is：ANDROID_UIAUTOMATOR,The element object value is:new UiSelector().text("登录")
2020-12-31 17:32:29 | INFO      | base:find_element:16 - 输出定位器信息：('-android uiautomator', 'new UiSelector().text("登录")')
2020-12-31 17:32:29 | INFO      | base:find_element:24 - 正在定位元素信息：定位方式->-android uiautomator,value值->new UiSelector().text("登录")
2020-12-31 17:32:30 | INFO      | base:find_element:28 - 元素对象为：<appium.webdriver.webelement.WebElement (session="8473c09a-452a-4d21-be47-7a82e85c818e", element="f81b0f16-5816-43f0-98e0-12a2344b4d53")>
2020-12-31 17:32:30 | INFO      | base:click_btn:80 - 元素对象点击成功
2020-12-31 17:32:30 | INFO      | locate:get_locator:55 - The element positioning mode is：ID,The element object value is:android:id/message
2020-12-31 17:32:30 | INFO      | base:find_element:16 - 输出定位器信息：('id', 'android:id/message')
2020-12-31 17:32:30 | INFO      | base:find_element:24 - 正在定位元素信息：定位方式->id,value值->android:id/message
2020-12-31 17:32:31 | INFO      | base:find_element:28 - 元素对象为：<appium.webdriver.webelement.WebElement (session="8473c09a-452a-4d21-be47-7a82e85c818e", element="ecf7aaef-0d8f-4668-a20e-5428d62f980f")>
2020-12-31 17:32:31 | INFO      | base:get_text:93 - 元素text值：用户不存在
2020-12-31 17:32:31 | INFO      | assertScreenShot:assert_equal_screen_shot:16 - Element assertion in progress:Is 用户不存在 equal to 用户存在?
2020-12-31 17:32:31 | ERROR      | assertScreenShot:assert_equal_screen_shot:19 - Assertion execution failed with error message:
2020-12-31 17:32:31 | INFO      | pictureOperation:screen_picture:21 - Screenshot operation in progress!
2020-12-31 17:32:31 | WARNING      | fileOperation:file_mkdir:15 - Report/picture The directory already exists and does not need to be created again.
2020-12-31 17:32:31 | INFO      | pictureOperation:screen_picture:30 - The screenshot is successful. The photo address is:Report/picture/2020-12-31-17_32_31.png
2020-12-31 17:32:31 | INFO      | conftest:function_driver:39 - driver.quit:Clean up driver process！！！
